Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Ambur Biryani Point,250,1, ,11am – 11pm (Mon-Sun),372,4,Koramangala 1st Block,2,1,1, ,0,1
Ambur Darbar Biriyani Point,200,1, ,11am – 11pm (Mon-Sun),11,3.4,Yeshwantpur,1,1,1, ,0,1
Ambur Dum Biriyani,200,1, ,12noon – 10pm (Mon-Sun),8,3.1,Indiranagar, ,1,0,2,0,1
Ambur Dum Biriyani,150,1, ,11am – 11pm (Mon-Sun),5,3.2,KR Puram,1,1,0,2,0,1
Ambur Dum Biriyani,300,2, ,11am – 11:30pm (Mon-Sun),5,3.3,Electronic City,1,1,0, ,0,1
Ambur Dum Biryani,250,2, ,11am – 11:30pm (Mon-Sun),5,3.2,Rammurthy Nagar,1,1,0, ,0,1
Ambur Five Star Dum Biryani,300,1, ,11am – 11pm (Mon-Sun),30,3.1,Hebbal,1,1,1, ,0,1
Ambur Hot Dum Biriyani,200,1, ,11am – 11:30pm (Mon-Sun),4,3.2,Jeevan Bhima Nagar,1,1,0, ,0,1
Ambur Hot Dum Biryani,150,1, ,11am – 11pm (Mon-Sun),8,3.1,Kaggadasapura,1,1,0,7,0,1
Ambur Hot Dum Biryani,300,1, ,11am – 11pm (Mon-Sun),6,3.2,Ulsoor,1,1,1, ,0,1
Ambur Hot Dum Biryani,150,1, ,11am – 11pm (Mon-Sun),6,3.3,Ejipura,1,1,0, ,0,1
Ambur Star Biryani,200,1, ,11am – 10pm (Mon-Sun),20,3.5,Sarjapur Road,1,1,0, ,0,1
Ambur Star Briyani,400,3, ,11:30am – 10:30pm (Mon-Sun),371,3.5,BTM,1,1,1,2,0,1
Ambur Tasty Biriyani,200,1, ,12noon – 10pm (Mon-Sun),4,3.2,HSR,1,1,0, ,0,1
Amchoor,100,2, ,10am – 10:30pm (Mon-Sun),34,3.8,Marathahalli, ,1,0, ,0,1
Amdo's Corner Tibetan Foods,250,2, ,12noon – 10pm (Mon-Sun),42,4,Richmond Road,1,1,0, ,0,1
American Bites,450,1, ,11am – 11pm (Mon-Sun),5,3.4,Sarjapur Road,1,1,0,4,0,1
Amiggos Hangout,400,2, ,11am – 11pm (Mon-Sun),5,3.3,Jalahalli,1,1,0, ,0,1
Amigos Kitchen,250,4, ,11:30am – 11:30pm (Mon-Sun),59,3.7,Banaswadi,1,1,1, ,0,1
Amma's Pastries,400,1, ,8am – 10pm (Mon-Sun),4,3.4,JP Nagar,1,1,0, ,0,1
